Date, Variable, National, Bomi County, Bong County, Gbarpolu County, Grand Bassa, Grand Cape Mount, Grand Gedeh, Grand Kru, Lofa County, Margibi County, Maryland County, Montserrado County, Nimba County, River Gee County, RiverCess County, Sinoe County
9/17/2014,New Case/s (Probable),31,0,1,0,1,0,0,1,7,6,0,15,0,0,0,0
9/17/2014,New case/s (confirmed),11,0,0,0,2,0,0,1,7,1,0,0,0,0,0,0
9/17/2014,Total suspected cases,817,7,123,1,28,6,3,0,53,217,3,333,29,9,0,5
9/17/2014,Total probable cases,1339,45,53,0,31,5,0,2,412,230,2,469,87,3,0,0
9/17/2014,Total confirmed cases,861,33,53,0,42,6,0,1,275,35,3,352,59,0,1,1
9/17/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0
9/17/2014,Total Number of Confirmed Cases of Guinean Nationality,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9/20/2014,Specimens collected,,,,,,,,,,,,,,,,
9/20/2014,Specimens pending for testing,,,,,,,,,,,,,,,,
9/20/2014,Total specimens tested,,,,,,,,,,,,,,,,
9/20/2014,Newly reported deaths,,,,,,,,,,,,,,,,
9/20/2014,Total death/s in confirmed cases,,,,,,,,,,,,,,,,
9/20/2014,Total death/s in probable cases,,,,,,,,,,,,,,,,
9/20/2014,Total death/s in suspected cases,,,,,,,,,,,,,,,,
9/20/2014,"Total death/s in confirmed, probable, suspected cases",,,,,,,,,,,,,,,,
9/20/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,,,,
9/20/2014,Newly reported contacts,,,,,,,,,,,,,,,,
9/20/2014,Total contacts listed,,,,,,,,,,,,,,,,
9/20/2014,Currently under follow-up,,,,,,,,,,,,,,,,
9/20/2014,Contacts seen,,,,,,,,,,,,,,,,
9/20/2014,Contacts who completed 21 day follow-up,,,,,,,,,,,,,,,,
9/20/2014,Contacts lost to follow-up,,,,,,,,,,,,,,,,
9/20/2014,New admissions,,,,,,,,,,,,,,,,
9/20/2014,Total no. currently in Treatment Units,,,,,,,,,,,,,,,,
9/20/2014,Total discharges,,,,,,,,,,,,,,,,
9/20/2014,Cumulative admission/isolation,,,,,,,,,,,,,,,,
9/20/2014,Newly Reported Cases in HCW,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
9/20/2014,Cumulative cases among HCW,179,6,26,0,3,3,0,0,21,41,0,72,7,0,0,0
9/20/2014,Newly Reported deaths in HCW,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9/20/2014,Cumulative deaths among HCW,85,5,7,0,1,0,0,0,17,20,0,33,2,0,0,0
9/20/2014,New Case/s (Suspected),10,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0
9/20/2014,New Case/s (Probable),26,0,4,0,2,0,0,0,4,2,0,0,14,0,0,0
9/20/2014,New case/s (confirmed),5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3
9/20/2014,Total suspected cases,832,7,129,1,28,6,3,0,53,221,3,333,31,9,3,5
9/20/2014,Total probable cases,1376,45,57,0,33,5,0,0,416,232,5,469,108,3,3,0
9/20/2014,Total confirmed cases,866,33,53,0,42,6,0,0,275,37,0,352,60,0,4,4
9/20/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0
9/20/2014,Total Number of Confirmed Cases of Guinean Nationality,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9/21/2014,Specimens collected,,,,,,,,,,,,,,,,
9/21/2014,Specimens pending for testing,,,,,,,,,,,,,,,,
9/21/2014,Total specimens tested,,,,,,,,,,,,,,,,
9/21/2014,Newly reported deaths,33,0,8,0,0,0,0,0,3,2,0,17,3,0,0,0
9/21/2014,Total death/s in confirmed cases,726,27,12,0,16,6,0,3,179,38,0,397,43,0,3,2
9/21/2014,Total death/s in probable cases,594,30,20,0,6,3,0,2,188,109,5,167,61,0,3,0
9/21/2014,Total death/s in suspected cases,389,0,52,0,5,5,2,0,38,69,3,194,13,6,2,0
9/21/2014,"Total death/s in confirmed, probable, suspected cases",1709,57,84,0,27,14,2,5,405,216,8,758,117,6,8,2
9/21/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,,,,
9/21/2014,Newly reported contacts,148,0,0,0,0,0,0,0,0,44,0,104,0,0,0,0
9/21/2014,Total contacts listed,11332,357,744,0,221,80,0,0,591,1746,6,6784,651,19,75,58
9/21/2014,Currently under follow-up,6116,277,256,0,144,77,0,11,298,1746,6,2860,351,4,28,58
9/21/2014,Contacts seen,5371,0,256,0,0,0,0,0,298,1746,0,2720,351,0,0,0
9/21/2014,Contacts who completed 21 day follow-up,124,0,9,0,0,0,0,0,0,74,0,41,0,0,0,0
9/21/2014,Contacts lost to follow-up,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
9/21/2014,New admissions,44,0,1,0,0,0,0,0,0,0,0,43,0,0,0,0
9/21/2014,Total no. currently in Treatment Units,219,0,5,0,0,0,0,0,30,0,0,184,0,0,0,0
9/21/2014,Total discharges,20,0,2,0,0,0,0,0,0,0,0,18,0,0,0,0
9/21/2014,Cumulative admission/isolation,222,0,8,0,0,0,0,0,30,0,0,184,0,0,0,0
9/21/2014,Newly Reported Cases in HCW,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9/21/2014,Cumulative cases among HCW,180,6,26,0,3,3,0,0,21,42,0,72,7,0,0,0
9/21/2014,Newly Reported deaths in HCW,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9/21/2014,Cumulative deaths among HCW,85,5,7,0,1,0,0,0,17,20,0,33,2,0,0,0
9/21/2014,New Case/s (Suspected),19,0,7,0,0,0,0,0,0,4,0,8,0,0,0,0
9/21/2014,New Case/s (Probable),30,0,0,0,0,0,0,0,0,17,0,9,4,0,0,0
9/21/2014,New case/s (confirmed),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9/21/2014,Total suspected cases,920,7,156,1,29,6,3,0,53,231,3,383,31,9,3,5
9/21/2014,Total probable cases,1468,45,64,0,34,5,0,0,429,268,5,497,115,3,3,0
9/21/2014,Total confirmed cases,884,33,53,0,43,6,0,0,275,37,0,352,77,0,4,4
9/21/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0
9/21/2014,Total Number of Confirmed Cases of Guinean Nationality,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
09/23/2014,Specimens collected,,,,,,,,,,,,,,,,
09/23/2014,Specimens pending for testing,,,,,,,,,,,,,,,,
09/23/2014,Total specimens tested,,,,,,,,,,,,,,,,
09/23/2014,Newly reported deaths,51,2,8,0,0,0,0,1,4,3,0,31,2,0,0,0
09/23/2014,Total death/s in confirmed cases,786,27,12,0,17,6,0,4,181,39,0,446,49,0,3,2
09/23/2014,Total death/s in probable cases,621,32,21,0,7,3,0,3,195,114,5,174,64,0,3,0
09/23/2014,Total death/s in suspected cases,412,1,60,0,6,5,2,1,38,71,3,204,13,6,2,0
09/23/2014,"Total death/s in confirmed, probable, suspected cases",1819,60,93,0,30,14,2,8,414,224,8,824,126,6,8,2
09/23/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,,,,
09/23/2014,Newly reported contacts,282,0,4,0,0,0,0,0,34,47,0,197,0,0,0,0
09/23/2014,Total contacts listed,11911,357,748,0,251,80,0,24,626,1806,6,7194,651,19,91,58
09/23/2014,Currently under follow-up,6175,277,159,0,148,77,0,24,295,1796,6,2936,351,4,44,58
09/23/2014,Contacts seen,4135,274,159,0,148,0,0,0,295,0,0,2864,351,0,44,0
09/23/2014,Contacts who completed 21 day follow-up,229,0,65,0,0,0,0,0,11,0,0,109,0,0,44,0
09/23/2014,Contacts lost to follow-up,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
09/23/2014,New admissions,6,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0
09/23/2014,Total no. currently in Treatment Units,432,0,14,0,0,0,0,0,24,0,0,394,0,0,0,0
09/23/2014,Total discharges,14,0,2,0,0,0,0,0,4,0,0,8,0,0,0,0
09/23/2014,Cumulative admission/isolation,436,0,18,0,0,0,0,0,24,0,0,394,0,0,0,0
09/23/2014,Newly Reported Cases in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/23/2014,Cumulative cases among HCW,182,6,26,0,3,3,0,0,21,42,0,73,8,0,0,0
09/23/2014,Newly Reported deaths in HCW,2,0,,0,0,0,0,0,0,0,0,0,2,0,0,0
09/23/2014,Cumulative deaths among HCW,89,5,7,0,1,0,0,0,17,20,0,33,6,0,0,0
09/23/2014,New Case/s (Suspected),48,0,10,0,0,0,0,1,0,15,0,22,0,0,0,0
09/23/2014,New Case/s (Probable),24,0,2,0,0,0,0,0,4,1,0,16,1,0,0,0
09/23/2014,New case/s (confirmed),16,0,13,0,1,0,0,0,2,0,0,0,0,0,0,0
09/23/2014,Total suspected cases,1005,7,167,1,29,6,3,3,57,251,3,430,31,9,3,5
09/23/2014,Total probable cases,1537,45,67,0,37,5,0,6,435,277,5,538,116,3,3,0
09/23/2014,Total confirmed cases,908,33,66,0,44,6,0,6,277,39,0,352,77,0,4,4
09/23/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0
09/23/2014,Total Number of Confirmed Cases of Guinean Nationality,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
09/25/2014,Specimens collected,,,,,,,,,,,,,,,,
09/25/2014,Specimens pending for testing,,,,,,,,,,,,,,,,
09/25/2014,Total specimens tested,,,,,,,,,,,,,,,,
09/25/2014,Newly reported deaths,42,2,2,0,3,0,0,1,2,2,0,27,3,0,0,0
09/25/2014,Total death/s in confirmed cases,843,28,14,0,17,6,0,5,187,40,0,492,49,0,3,2
09/25/2014,Total death/s in probable cases,643,33,21,0,9,3,0,3,197,118,5,181,70,0,3,0
09/25/2014,Total death/s in suspected cases,425,3,66,0,7,5,2,1,38,72,3,206,14,6,2,0
09/25/2014,"Total death/s in confirmed, probable, suspected cases",1911,64,101,0,33,14,2,9,422,230,8,879,133,6,8,2
09/25/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,,,,
09/25/2014,Newly reported contacts,351,0,7,0,10,0,0,7,10,26,0,102,189,0,0,0
09/25/2014,Total contacts listed,12638,549,757,0,263,80,20,38,654,1862,6,7401,840,19,91,58
09/25/2014,Currently under follow-up,6664,441,163,0,161,77,20,7,307,1752,6,3153,471,4,44,58
09/25/2014,Contacts seen,6397,440,163,0,161,0,0,0,307,1752,0,3103,471,0,0,0
09/25/2014,Contacts who completed 21 day follow-up,140,1,0,0,24,0,0,0,0,0,0,76,39,0,0,0
09/25/2014,Contacts lost to follow-up,9,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0
09/25/2014,New admissions,50,0,3,0,0,0,0,0,1,0,0,46,0,0,0,0
09/25/2014,Total no. currently in Treatment Units,437,0,15,0,0,0,0,0,18,0,0,404,0,0,0,0
09/25/2014,Total discharges,35,0,4,0,0,0,0,0,1,0,0,30,0,0,0,0
09/25/2014,Cumulative admission/isolation,448,0,26,0,0,0,0,0,18,0,0,404,0,0,0,0
09/25/2014,Newly Reported Cases in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/25/2014,Cumulative cases among HCW,183,6,26,0,3,3,0,0,21,42,0,74,8,0,0,0
09/25/2014,Newly Reported deaths in HCW,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
09/25/2014,Cumulative deaths among HCW,92,5,7,0,1,0,0,0,18,20,0,33,8,0,0,0
09/25/2014,New Case/s (Suspected),17,0,3,0,0,0,0,0,0,3,0,9,2,0,0,0
09/25/2014,New Case/s (Probable),37,0,0,0,2,0,0,1,1,9,0,7,17,0,0,0
09/25/2014,New case/s (confirmed),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
09/25/2014,Total suspected cases,1057,7,178,1,31,6,3,3,57,264,3,452,33,11,3,5
09/25/2014,Total probable cases,1584,45,67,0,40,5,0,7,436,283,5,556,133,4,3,0
09/25/2014,Total confirmed cases,915,33,66,0,45,6,0,6,281,39,0,352,77,2,4,4
09/25/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0
09/25/2014,Total Number of Confirmed Cases of Guinean Nationality,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
09/26/2014,Specimens collected,,,,,,,,,,,,,,,,
09/26/2014,Specimens pending for testing,,,,,,,,,,,,,,,,
09/26/2014,Total specimens tested,,,,,,,,,,,,,,,,
09/26/2014,Newly reported deaths,64,2,4,0,0,0,0,1,4,8,0,45,0,0,0,0
09/26/2014,Total death/s in confirmed cases,882,29,14,0,17,6,0,5,189,40,0,528,49,0,3,2
09/26/2014,Total death/s in probable cases,656,33,21,0,9,3,0,4,199,123,5,186,70,0,3,0
09/26/2014,Total death/s in suspected cases,437,4,70,0,7,5,2,1,38,75,3,210,14,6,2,0
09/26/2014,"Total death/s in confirmed, probable, suspected cases",1975,66,105,0,33,14,2,10,426,238,8,924,133,6,8,2
09/26/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,,,,
09/26/2014,Newly reported contacts,283,0,10,0,0,0,0,0,10,126,0,137,0,0,0,0
09/26/2014,Total contacts listed,12921,549,767,0,263,80,20,38,664,1988,6,7538,840,19,91,58
09/26/2014,Currently under follow-up,6774,441,170,0,161,77,20,7,317,1784,6,3214,471,4,44,58
09/26/2014,Contacts seen,6425,440,170,0,161,0,0,0,317,1784,0,3082,471,0,0,0
09/26/2014,Contacts who completed 21 day follow-up,287,101,0,0,0,0,0,0,0,0,0,169,17,0,0,0
09/26/2014,Contacts lost to follow-up,19,2,0,0,0,0,0,0,0,14,0,3,0,0,0,0
09/26/2014,New admissions,31,0,5,0,0,0,0,0,3,0,0,23,0,0,0,0
09/26/2014,Total no. currently in Treatment Units,433,0,20,0,0,0,0,0,15,0,0,398,0,0,0,0
09/26/2014,Total discharges,20,0,4,0,0,0,0,0,2,0,0,14,0,0,0,0
09/26/2014,Cumulative admission/isolation,,,,,,,,,,,,,,,,
09/26/2014,Newly Reported Cases in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/26/2014,Cumulative cases among HCW,183,6,26,0,3,3,0,0,21,42,0,74,8,0,0,0
09/26/2014,Newly Reported deaths in HCW,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
09/26/2014,Cumulative deaths among HCW,92,5,7,0,1,0,0,0,18,20,0,33,8,0,0,0
09/26/2014,New Case/s (Suspected),27,0,4,0,0,0,0,0,0,9,0,14,0,0,0,0
09/26/2014,New Case/s (Probable),42,0,1,0,1,0,0,0,3,17,0,20,0,0,0,0
09/26/2014,New case/s (confirmed),2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
09/26/2014,Total suspected cases,1084,7,182,1,31,6,3,3,57,273,3,466,33,11,3,5
09/26/2014,Total probable cases,1626,45,68,0,41,5,0,7,439,300,5,576,133,4,3,0
09/26/2014,Total confirmed cases,917,33,66,0,47,6,0,6,281,39,0,352,77,2,4,4
09/26/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0
09/26/2014,Total Number of Confirmed Cases of Guinean Nationality,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
09/27/2014,Specimens collected,,,,,,,,,,,,,,,,
09/27/2014,Specimens pending for testing,,,,,,,,,,,,,,,,
09/27/2014,Total specimens tested,,,,,,,,,,,,,,,,
09/27/2014,Newly reported deaths,8,0,2,0,0,0,0,0,1,1,0,3,1,0,0,0
09/27/2014,Total death/s in confirmed cases,883,29,14,0,17,6,0,5,190,40,0,528,49,0,3,2
09/27/2014,Total death/s in probable cases,660,33,21,0,9,3,0,4,199,124,5,188,71,0,3,0
09/27/2014,Total death/s in suspected cases,440,4,72,0,7,5,2,1,38,75,3,211,14,6,2,0
09/27/2014,"Total death/s in confirmed, probable, suspected cases",1983,66,107,0,33,14,2,10,427,239,8,927,134,6,8,2
09/27/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,,,,
09/27/2014,Newly reported contacts,121,0,0,0,0,0,0,0,0,20,0,96,0,0,0,5
09/27/2014,Total contacts listed,13037,549,767,0,263,80,20,38,664,2008,6,7634,840,19,91,58
09/27/2014,Currently under follow-up,6625,441,170,0,161,77,20,7,317,1804,6,3045,471,4,44,58
09/27/2014,Contacts seen,6299,440,170,0,161,0,0,0,317,1705,0,3035,471,0,0,0
09/27/2014,Contacts who completed 21 day follow-up,247,0,0,0,0,0,0,0,0,96,0,148,3,0,0,0
09/27/2014,Contacts lost to follow-up,19,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0
09/27/2014,New admissions,,,,,,,,,,,,,,,,
09/27/2014,Total no. currently in Treatment Units,,,,,,,,,,,,,,,,
09/27/2014,Total discharges,,,,,,,,,,,,,,,,
09/27/2014,Cumulative admission/isolation,,,,,,,,,,,,,,,,
09/27/2014,Newly Reported Cases in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/27/2014,Cumulative cases among HCW,183,6,26,0,3,3,0,0,21,42,0,74,8,0,0,0
09/27/2014,Newly Reported deaths in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/27/2014,Cumulative deaths among HCW,92,5,7,0,1,0,0,0,18,20,0,33,8,0,0,0
09/27/2014,New Case/s (Suspected),19,0,2,0,0,0,0,0,0,3,0,13,0,0,0,1
09/27/2014,New Case/s (Probable),16,0,0,0,0,0,0,0,1,6,0,9,0,0,0,0
09/27/2014,New case/s (confirmed),2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
09/27/2014,Total suspected cases,1103,7,184,1,31,6,3,3,57,276,3,479,33,11,3,6
09/27/2014,Total probable cases,1642,45,68,0,41,5,0,7,440,306,5,585,133,4,3,0
09/27/2014,Total confirmed cases,919,33,66,0,47,6,0,6,281,39,0,354,77,2,4,4
09/27/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0
09/27/2014,Total Number of Confirmed Cases of Guinean Nationality,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9/28/2014,Specimens collected,,,,,,,,,,,,,,,,
9/28/2014,Specimens pending for testing,,,,,,,,,,,,,,,,
9/28/2014,Total specimens tested,,,,,,,,,,,,,,,,
9/28/2014,Newly reported deaths,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
9/28/2014,Total death/s in confirmed cases,884,29,14,0,17,6,0,5,191,40,0,528,49,0,3,2
9/28/2014,Total death/s in probable cases,662,33,21,0,9,3,0,4,200,125,5,188,71,0,3,0
9/28/2014,Total death/s in suspected cases,441,4,72,0,7,5,2,1,38,76,3,211,14,6,2,0
9/28/2014,"Total death/s in confirmed, probable, suspected cases",1987,66,107,0,33,14,2,10,429,241,8,927,134,6,8,2
9/28/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,,,,
9/28/2014,Newly reported contacts,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9/28/2014,Total contacts listed,13038,549,767,0,263,80,20,38,664,2009,6,7634,840,19,91,58
9/28/2014,Currently under follow-up,6626,441,170,0,161,77,20,7,317,1805,6,3045,471,4,44,58
9/28/2014,Contacts seen,4741,0,0,0,0,0,0,0,0,1706,0,3035,0,0,0,0
9/28/2014,Contacts who completed 21 day follow-up,17,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
9/28/2014,Contacts lost to follow-up,14,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
9/28/2014,New admissions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/28/2014,Total no. currently in Treatment Units,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1
9/28/2014,Total discharges,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
9/28/2014,Cumulative admission/isolation,,,,,,,,,,,,,,,,
9/28/2014,Newly Reported Cases in HCW,,,,,,,,,,,,,,,,
9/28/2014,Cumulative cases among HCW,184,6,26,0,3,3,0,0,22,42,0,74,8,0,0,0
9/28/2014,Newly Reported deaths in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/28/2014,Cumulative deaths among HCW,92,5,7,0,1,0,0,0,18,20,0,33,8,0,0,0
9/28/2014,New Case/s (Suspected),10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
9/28/2014,New Case/s (Probable),12,0,0,0,0,0,0,0,3,1,0,8,0,0,0,0
9/28/2014,New case/s (confirmed),2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
9/28/2014,Total suspected cases,1113,7,184,1,31,6,3,3,57,276,3,489,33,11,3,6
9/28/2014,Total probable cases,1654,45,68,0,41,5,0,7,443,307,5,593,133,4,3,0
9/28/2014,Total confirmed cases,921,33,66,0,47,6,0,6,281,39,0,356,77,2,4,4
9/28/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0
9/28/2014,Total Number of Confirmed Cases of Guinean Nationality,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9/30/2014,Specimens collected,,,,,,,,,,,,,,,,
9/30/2014,Specimens pending for testing,,,,,,,,,,,,,,,,
9/30/2014,Total specimens tested,,,,,,,,,,,,,,,,
9/30/2014,Newly reported deaths,32,2,2,0,0,0,0,0,0,0,0,28,0,0,0,0
9/30/2014,Total death/s in confirmed cases,928,30,14,0,17,6,0,5,191,41,0,570,49,0,3,2
9/30/2014,Total death/s in probable cases,675,33,21,0,9,3,0,4,202,125,5,198,72,0,3,0
9/30/2014,Total death/s in suspected cases,455,5,79,0,7,5,2,2,38,79,3,213,14,6,2,0
9/30/2014,"Total death/s in confirmed, probable, suspected cases",2058,68,114,0,33,14,2,11,431,245,8,981,135,6,8,2
9/30/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,,,,
9/30/2014,Newly reported contacts,294,0,11,0,54,0,0,0,0,0,0,229,0,0,0,0
9/30/2014,Total contacts listed,13597,542,840,0,317,80,20,38,699,2035,6,8007,840,19,91,63
9/30/2014,Currently under follow-up,6886,441,233,0,215,77,20,7,325,1805,6,3195,451,4,44,63
9/30/2014,Contacts seen,4027,440,233,0,215,0,0,0,0,0,0,3139,0,0,0,0
9/30/2014,Contacts who completed 21 day follow-up,258,101,20,0,0,0,0,0,0,0,0,137,0,0,0,0
9/30/2014,Contacts lost to follow-up,19,2,0,0,0,0,0,0,0,14,0,3,0,0,0,0
9/30/2014,New admissions,52,0,0,0,1,0,0,0,0,0,0,51,0,0,0,1
9/30/2014,Total no. currently in Treatment Units,481,10,20,0,9,0,0,0,0,0,0,440,0,0,0,2
9/30/2014,Total discharges,36,7,10,0,0,0,0,0,0,0,0,19,0,0,0,0
9/30/2014,Cumulative admission/isolation,,,,,,,,,,,,,,,,
9/30/2014,Newly Reported Cases in HCW,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9/30/2014,Cumulative cases among HCW,186,6,26,0,3,3,0,0,22,42,0,75,9,0,0,0
9/30/2014,Newly Reported deaths in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/30/2014,Cumulative deaths among HCW,92,5,7,0,1,0,0,0,18,20,0,33,8,0,0,0
9/30/2014,New Case/s (Suspected),33,0,7,0,3,0,0,0,0,0,0,23,0,0,0,0
9/30/2014,New Case/s (Probable),14,2,0,0,1,0,0,0,0,0,0,10,0,0,0,1
9/30/2014,New case/s (confirmed),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9/30/2014,Total suspected cases,1190,7,201,1,34,6,3,4,57,282,3,537,34,12,3,6
9/30/2014,Total probable cases,1711,47,68,0,42,5,0,8,449,316,5,630,133,4,3,1
9/30/2014,Total confirmed cases,925,33,67,0,47,6,0,6,284,39,0,356,77,2,4,4
9/30/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0
9/30/2014,Total Number of Confirmed Cases of Guinean Nationality,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10/1/2014,Specimens collected,,,,,,,,,,,,,,,,
10/1/2014,Specimens pending for testing,,,,,,,,,,,,,,,,
10/1/2014,Total specimens tested,,,,,,,,,,,,,,,,
10/1/2014,Newly reported deaths,22,0,0,0,4,0,0,2,0,0,0,16,0,0,0,0
10/1/2014,Total death/s in confirmed cases,943,30,14,0,21,6,0,5,191,41,0,581,49,0,3,2
10/1/2014,Total death/s in probable cases,681,33,21,0,9,3,0,4,202,126,5,203,72,0,3,0
10/1/2014,Total death/s in suspected cases,458,5,79,0,7,5,2,4,38,80,3,213,14,6,2,0
10/1/2014,"Total death/s in confirmed, probable, suspected cases",2082,68,114,0,37,14,2,13,431,247,8,997,135,6,8,2
